(0, 8)
(0, 10)
(0, 14)
(0, 18)
(0, 22)
(0, 26)
(0, 32)
(0, 34)
(0, 37)
(0, 40)
(1, 2)
(1, 5)
(1, 22)
(1, 23)
(1, 24)
(1, 31)
(1, 33)
(1, 35)
(1, 41)
(1, 48)
(2, 5)
(2, 24)
(2, 46)
(2, 47)
(3, 6)
(3, 15)
(3, 22)
(3, 30)
(3, 38)
(3, 42)
(3, 47)
(4, 6)
(4, 14)
(4, 18)
(4, 20)
(4, 21)
(4, 31)
(4, 33)
(4, 37)
(4, 38)
(4, 45)
(4, 47)
(5, 20)
(5, 24)
(5, 26)
(5, 30)
(5, 37)
(5, 39)
(5, 45)
(6, 7)
(6, 8)
(6, 15)
(6, 16)
(6, 19)
(6, 22)
(6, 29)
(6, 31)
(6, 44)
(6, 45)
(6, 46)
(6, 47)
(7, 16)
(7, 18)
(7, 20)
(7, 33)
(7, 35)
(7, 44)
(7, 47)
(8, 9)
(8, 10)
(8, 15)
(8, 17)
(8, 30)
(8, 39)
(8, 43)
(8, 44)
(9, 15)
(9, 24)
(9, 26)
(9, 29)
(9, 37)
(9, 46)
(10, 12)
(10, 21)
(10, 22)
(10, 28)
(10, 30)
(10, 48)
(11, 13)
(11, 29)
(11, 30)
(11, 33)
(11, 38)
(12, 29)
(12, 31)
(12, 34)
(12, 36)
(12, 37)
(12, 41)
(12, 49)
(13, 16)
(13, 26)
(13, 27)
(13, 29)
(13, 31)
(13, 34)
(13, 39)
(13, 48)
(14, 17)
(14, 19)
(14, 26)
(14, 28)
(14, 32)
(14, 36)
(14, 39)
(14, 47)
(14, 49)
(15, 21)
(15, 23)
(15, 25)
(15, 27)
(15, 37)
(15, 43)
(15, 47)
(16, 21)
(16, 24)
(16, 31)
(16, 32)
(16, 35)
(17, 18)
(17, 19)
(17, 26)
(17, 34)
(17, 37)
(17, 38)
(17, 40)
(17, 45)
(18, 24)
(18, 31)
(18, 36)
(18, 40)
(19, 23)
(19, 25)
(19, 33)
(19, 35)
(19, 36)
(19, 41)
(20, 21)
(20, 29)
(20, 34)
(20, 36)
(21, 27)
(21, 28)
(21, 32)
(21, 36)
(21, 40)
(21, 45)
(22, 25)
(22, 26)
(22, 35)
(22, 39)
(22, 40)
(22, 41)
(22, 47)
(23, 25)
(23, 28)
(23, 47)
(24, 34)
(24, 35)
(24, 40)
(24, 41)
(24, 44)
(25, 26)
(25, 29)
(25, 31)
(25, 34)
(25, 47)
(26, 27)
(26, 29)
(26, 34)
(26, 35)
(26, 38)
(26, 39)
(27, 33)
(27, 41)
(28, 34)
(28, 35)
(28, 40)
(28, 45)
(29, 30)
(29, 42)
(29, 44)
(29, 45)
(29, 46)
(29, 48)
(29, 49)
(30, 35)
(30, 37)
(31, 38)
(31, 42)
(31, 47)
(32, 33)
(32, 36)
(32, 37)
(32, 38)
(33, 35)
(33, 38)
(33, 42)
(34, 46)
(35, 37)
(35, 38)
(35, 39)
(35, 43)
(35, 44)
(36, 42)
(37, 39)
(38, 44)
(38, 45)
(38, 46)
(38, 47)
(39, 40)
(39, 43)
(39, 44)
(39, 48)
(40, 44)
(41, 47)
(42, 45)
(43, 47)
(43, 48)
(43, 49)
(45, 48)
